Date,CPI,PPI
01/01/2001,1.2,1.43
01/02/2001,0,0.9
01/03/2001,0.8,0.2
01/04/2001,1.6,-0.1
01/05/2001,1.7,-0.2
01/06/2001,1.4,-0.6
01/07/2001,1.5,-1.3
01/08/2001,1,-2
01/09/2001,-0.1,-2.9
01/10/2001,0.2,-3.1
01/11/2001,-0.3,-3.7
01/12/2001,-0.3,-4
01/01/2002,-1,-4.2
01/02/2002,0,-4.2
01/03/2002,-0.8,-4
01/04/2002,-1.3,-3.06
01/05/2002,-1.1,-2.63
01/06/2002,-0.8,-2.5
01/07/2002,-0.9,-2.3
01/08/2002,-0.7,-1.7
01/09/2002,-0.7,-1.4
01/10/2002,-0.8,-1
01/11/2002,-0.7,-0.4
01/12/2002,-0.4,0.4
01/01/2003,0.4,2.4
01/02/2003,0.2,4
01/03/2003,0.9,4.6
01/04/2003,1,3.6
01/05/2003,0.7,2
01/06/2003,0.3,1.3
01/07/2003,0.5,1.4
01/08/2003,0.9,1.4
01/09/2003,1.1,1.4
01/10/2003,1.8,1.2
01/11/2003,3,1.9
01/12/2003,3.2,3
01/01/2004,3.2,3.5
01/02/2004,2.1,3.5
01/03/2004,3,4
01/04/2004,3.8,5
01/05/2004,4.4,5.7
01/06/2004,5,6.4
01/07/2004,5.3,6.4
01/08/2004,5.3,6.8
01/09/2004,5.2,7.9
01/10/2004,4.3,8.4
01/11/2004,2.8,8.1
01/12/2004,2.4,7.1
01/01/2005,1.9,5.8
01/02/2005,3.9,5.38
01/03/2005,2.7,5.6
01/04/2005,1.8,5.78
01/05/2005,1.8,5.9
01/06/2005,1.6,5.2
01/07/2005,1.8,5.2
01/08/2005,1.3,5.3
01/09/2005,0.9,4.5
01/10/2005,1.2,4
01/11/2005,1.3,3.2
01/12/2005,1.6,3.2
01/01/2006,1.9,3.05
01/02/2006,0.9,3.01
01/03/2006,0.8,2.49
01/04/2006,1.2,1.87
01/05/2006,1.4,2.43
01/06/2006,1.5,3.52
01/07/2006,1,3.58
01/08/2006,1.3,3.4
01/09/2006,1.5,3.5
01/10/2006,1.4,2.9
01/11/2006,1.9,2.78
01/12/2006,2.8,3.1
01/01/2007,2.2,3.3
01/02/2007,2.7,2.6
01/03/2007,3.3,2.7
01/04/2007,3,2.9
01/05/2007,3.4,2.8
01/06/2007,4.4,2.49
01/07/2007,5.6,2.4
01/08/2007,6.5,2.6
01/09/2007,6.2,2.7
01/10/2007,6.5,3.2
01/11/2007,6.9,4.55
01/12/2007,6.5,5.43
01/01/2008,7.1,6.1
01/02/2008,8.7,6.62
01/03/2008,8.3,7.95
01/04/2008,8.5,8.12
01/05/2008,7.7,8.22
01/06/2008,7.1,8.84
01/07/2008,6.3,10.03
01/08/2008,4.9,10.06
01/09/2008,4.6,9.13
01/10/2008,4,6.59
01/11/2008,2.4,1.99
01/12/2008,1.2,-1.14
01/01/2009,1,-3.35
01/02/2009,-1.6,-4.47
01/03/2009,-1.2,-6
01/04/2009,-1.5,-6.6
01/05/2009,-1.4,-7.2
01/06/2009,-1.7,-7.8
01/07/2009,-1.8,-8.2
01/08/2009,-1.2,-7.86
01/09/2009,-0.8,-6.99
01/10/2009,-0.5,-5.85
01/11/2009,0.6,-2.08
01/12/2009,1.9,1.7
01/01/2010,1.5,4.32
01/02/2010,2.7,5.39
01/03/2010,2.4,5.91
01/04/2010,2.8,6.81
01/05/2010,3.1,7.13
01/06/2010,2.9,6.41
01/07/2010,3.3,4.84
01/08/2010,3.5,4.32
01/09/2010,3.6,4.33
01/10/2010,4.4,5.04
01/11/2010,5.1,6.06
01/12/2010,4.6,5.93
01/01/2011,4.9,6.6
01/02/2011,4.94,7.23
01/03/2011,5.38,7.31
01/04/2011,5.34,6.82
01/05/2011,5.52,6.79
01/06/2011,6.36,7.12
01/07/2011,6.45,7.54
01/08/2011,6.15,7.25
01/09/2011,6.07,6.52
01/10/2011,5.5,5
01/11/2011,4.23,2.72
01/12/2011,4.07,1.69
01/01/2012,4.5,0.73
01/02/2012,3.2,0.03
01/03/2012,3.6,-0.32
01/04/2012,3.4,-0.7
01/05/2012,3,-1.4
01/06/2012,2.2,-2.08
01/07/2012,1.8,-2.87
01/08/2012,2,-3.48
01/09/2012,1.9,-3.55
01/10/2012,1.7,-2.76
01/11/2012,2,-2.2
